id,domain,status,purchase_price,renewal_price,attractiveness,demand,length,registrar,created_at,expires_at
327a621d-194c-44ce-870e-fdaa494ee41b,recorded.engineer,available,13.99,,medium,low,8,name.com,,
61ab4a0d-2caf-4e04-bead-44fc9b4089a6,iconic.security,available,1999.99,2049.99,high,low,6,namesilo,,
af2e889b-67ab-4733-b3f5-b106fa9b4cff,saucepan.adult,available,166.98,,high,low,8,namecheap,,
aa2502c8-858b-418d-aae4-8c9c012e382a,thisway.date,available,5.25,6.25,low,low,8,namesilo,,
b13c6787-5809-467f-b8ce-8b9f8c30df3b,McMuffin.cool,available,9.99,,high,low,8,name.com,,
1f2bcfd7-cd5d-4c99-b04d-cfbb00e0f987,familyrestaurant.courses,available,2.19,38.99,high,low,17,namesilo,,
f9eafd81-af16-45b5-a917-656cb1bae37d,flamboyant.fit,available,2.99,32.49,medium,low,10,namesilo,,
796e2b71-40d3-4fdb-be3e-c9bd3a65cbce,lucrative.tube,available,23.99,23.99,high,low,9,namesilo,,
5b8cf7bb-c46a-425e-9f7d-55a4722ffc35,technology.security,available,2950,,high,low,10,namecheap,,
bd0edb49-a633-47fa-baa1-d4b4e020d5d5,strawberryred.my,available,3.49,29.99,low,low,14,namesilo,,
5cb27ddf-46df-42df-b229-65495286696d,chips.doctor,available,14.99,,high,low,5,name.com,,
9ec98cbe-c09f-44d6-9be2-362c22dc7472,forward.london,premium,133.94,59.99,medium,low,7,name.com,,
57ffe023-b602-4de0-bef6-2cb9ed94578a,curlyfries.io,available,,,high,low,11,,,
f1b39dd8-ff29-4cbe-9a88-73a7aef98bf0,deepdish.watch,available,4.99,,high,low,9,name.com,,
41d48495-031c-4ba5-a5be-321f441730f5,bath.website,premium,156.25,,high,low,4,name.com,,
94d3fc72-677e-4169-b841-b5276bff6e88,germany.pictures,available,,,high,low,7,,,
5acc60f5-6931-4cfd-a6e2-de2f220f9338,bankholiday.accountants,available,43.99,,high,low,12,name.com,,
6f263dbf-e585-4862-9bc6-614925ad6050,lettherebelight.game,available,309.99,329.99,medium,low,18,namesilo,,
d77d4ac5-e0dd-4e49-8706-d0cd86666b20,shoulders.express,available,16.99,,low,low,9,name.com,,
403277af-88b1-46f7-b907-d6edd87a441d,join.sex,available,154.98,,high,medium,4,namecheap,,
c96200b7-f8e4-4f50-94e0-4804936f9d81,intercontinental.tech,available,,,medium,medium,16,,,
21679af1-bd57-44a4-a9c1-714125405ba9,vocal.graphics,available,23.99,23.99,high,low,5,namesilo,,
5f90ef01-7ca3-49c1-a031-7ee70a3d3e3d,tranquilly.gg,available,,,medium,high,10,,,
5c14c064-6678-4c95-80c0-1a8dc18f9f4e,Audi.estate,available,,,high,low,4,,,
7ccec974-a67a-434c-904d-f8dc310e88f7,lecture.dating,available,23.99,,high,low,7,name.com,,
43a973a4-e429-4ebe-8023-f72ce4746491,saucepot.net,available,,,medium,high,8,,,
1cf0a860-ffea-4f6f-ab18-d3585a277f69,roomandboard.limited,available,14.99,,medium,low,14,name.com,,
da334595-99a8-4a6d-b4bb-a1104236c559,comeinto.camp,available,11.99,,high,low,9,name.com,,
71b4883b-e217-4166-a877-2d93a868ed80,startup.viajes,available,37.99,37.99,medium,medium,7,namesilo,,
995e4eb1-1534-4821-9df6-f03bc7e61668,eager.bayern,available,47.99,50.99,high,low,5,name.com,,
85e8c7b2-d905-4d01-9ee7-af5820a11747,platter.quest,available,1.99,,medium,low,7,name.com,,
cd3885e4-63c9-4d16-81f2-40a2fbdf134b,antiinflammatory.so,available,,,high,high,17,,,
514923c8-3641-43ba-8ef8-afe017d725eb,admired.tattoo,available,34.99,34.99,high,low,7,namesilo,,
3399e94c-a34f-47fe-86eb-d81ef68e4435,younger.talk,premium,71.4,71.4,high,low,7,namesilo,,
74cb4668-8f96-4c34-b478-059828d41474,unveil.watch,available,4.99,,high,low,6,name.com,,
e8e7ad22-7748-4bd1-8498-9014cc3556b5,suv.services,resell,,,high,low,3,"GoDaddy.com, LLC",19/12/2025 12:25,19/12/2026 12:25
5830b30a-a477-43bf-92c1-15e6e308f269,communitypoliceman.co,available,,,medium,high,19,,,
9d83dc9b-faa6-4fb3-8df6-37ef3a2413c4,band.insure,available,9.99,,medium,low,4,name.com,,
b9b10c52-9443-4271-953b-84bc66c22465,fly.rentals,premium,78.54,78.54,high,low,3,namesilo,,
17362b37-f8ae-499b-841c-075940b3b3df,UnitedStates.auction,available,,,low,low,13,,,
fc0e4b51-d167-4d49-80c4-7dc61da694ac,farmwork.center,available,7.99,,medium,low,9,name.com,,
2e0c71b5-8202-4592-9367-7f24e6ed33b8,fruity.fish,available,,,high,low,6,,,
377a2529-82e6-4d4b-802f-8f85ab3f7de8,germany.mov,available,,,high,low,7,,,
d0432450-9754-480b-bc85-49b8ed4a7dfb,stayloose.moda,available,19.99,,low,low,10,name.com,,
c3865d01-b2cf-4d70-a4a6-070d901b278f,name.lighting,available,,,high,low,4,,,
9df2899f-6b47-4b8c-955a-b5765effadc4,familiar.sale,available,5.99,,high,low,8,name.com,,
5b980640-bb79-4679-99d8-0401842659ad,goodandproper.fail,available,14.99,,medium,low,15,name.com,,
ec2ed715-c531-4473-8dee-faef6bfe7fc9,Uber.company,available,,,high,low,4,,,
4d044333-6f5b-4fc7-9d3a-1fc7f1f7979a,attic.school,available,,,high,low,5,,,
f9ed6e90-3e7b-4d9b-a802-159ac1743889,leather.click,available,1.99,,medium,low,7,name.com,,
d80f22d8-edcd-4b99-83bf-3abdb6d39132,hybrid.loan,premium,1107,116,high,low,6,namesilo,,
69da2e48-295e-42e8-b450-30ddf5d729e4,justified.engineering,available,11.99,,medium,low,9,name.com,,
458059a6-d1db-45bd-9979-45b6a51887c1,Germanwheat.at,available,,,medium,high,12,,,
09866a11-f215-4443-80e9-a41f57da23d9,pulloff.website,available,2.99,22.99,low,low,8,namesilo,,
0991be39-d618-45f0-b47a-a2617563b1e0,proven.foo,premium,36.25,,high,low,6,name.com,,
bb793636-20f2-4d54-8a43-50c04c4c05b8,blueberrypie.builders,available,7.99,,medium,low,13,name.com,,
c0d77886-ca29-406f-bbc6-a912c2b87c0e,notify.hot,premium,116,116,high,low,6,namesilo,,
